Product_Code,Product_Name,Category,Cost_Price,Selling_Price
SKU-10030,Luxe Silk Backpack - Rose Gold,Fashion accessories,73.85,112.95
SKU-10031,Vital Oil-Free Deodorant - Travel Size,Health and beauty,74.43,107.44
SKU-10032,Velocity Compact Dumbbells - Red,Sports and travel,27.02,38.32
SKU-10033,Ultra Slim Headphones - White,Electronic accessories,81.93,118.03
SKU-10034,FarmFresh Gluten-Free Olive Oil - 1Kg,Food and beverages,13.75,17.04
SKU-10035,Urban Ceramic Bed Sheets - Grey,Home and lifestyle,27.14,42.6
SKU-10036,Velocity Ergonomic Resistance Bands - Red,Sports and travel,31.65,47.99
SKU-10037,Zen Rustic Cushion - Clear,Home and lifestyle,20.93,33.32
SKU-10038,Modern Ceramic Towel Set - Oak,Home and lifestyle,45.98,71.48
SKU-10039,Nature's Sweet Cereal - 1L,Food and beverages,4.37,5.26
SKU-10040,Motion Ergonomic Gym Bag - Blue,Sports and travel,40.72,53.01
SKU-10041,FarmFresh Gluten-Free Pasta - 1Kg,Food and beverages,3.66,4.65
SKU-10042,Cozy Minimalist Bed Sheets - Oak,Home and lifestyle,28.05,43.67
SKU-10043,Aero Durable Travel Pillow - Orange,Sports and travel,49.85,66.51
SKU-10044,Motion Heavy-Duty Travel Pillow - Neon Green,Sports and travel,21.35,33.35
SKU-10045,Clear Organic Sunscreen - 200ml,Health and beauty,70.55,93.28
SKU-10046,EcoLiving Ceramic Towel Set - Beige,Home and lifestyle,37.21,51.47
SKU-10047,Clear Vitamin C Body Lotion - 100ml,Health and beauty,9.81,15.48
SKU-10048,Classic Minimalist Candle - Oak,Home and lifestyle,18.95,25.65
SKU-10049,Essence Hydrating Sunscreen - 150g,Health and beauty,29.49,39.32
SKU-10050,Trek Waterproof Yoga Mat - Grey,Sports and travel,64.39,91.66
SKU-10051,Classic Cotton Scarf - Black,Fashion accessories,11.88,14.96
SKU-10052,Cyber Mini Speaker - White,Electronic accessories,115.63,158.29
SKU-10053,Vogue Leather Tie - Rose Gold,Fashion accessories,43.2,63.58
SKU-10054,Aura Anti-Aging Serum - Pack of 2,Health and beauty,25.8,36.07
SKU-10055,LuxeHome Wooden Wall Clock - Clear,Home and lifestyle,39.08,52.77
SKU-10056,Zen Ceramic Coffee Mug - Black,Home and lifestyle,50.89,75.14
SKU-10057,Urban Denim Watch - Brown,Fashion accessories,5.41,8.07
SKU-10058,Eco Mini Adapter - Blue,Electronic accessories,104.6,152.2
SKU-10059,EcoLiving Wooden Candle - Black,Home and lifestyle,45.55,57.39
SKU-10060,Peak Lightweight Dumbbells - Red,Sports and travel,31.29,42.7
SKU-10061,Active Breathable Jump Rope - Black,Sports and travel,61.3,89.31
SKU-10062,ProFit Breathable Backpack - Neon Green,Sports and travel,40.43,57.5
SKU-10063,Chic Polarized Gloves - Silver,Fashion accessories,56.59,88.51
SKU-10064,HomeStyle Rustic Vase - Clear,Home and lifestyle,75.38,111.57
SKU-10065,Classic Minimalist Picture Frame - Black,Home and lifestyle,43.75,68.28
SKU-10066,Golden Salted Chocolate - 500g,Food and beverages,10.35,13.07
SKU-10067,ProFit Durable Tent - Blue,Sports and travel,12.13,15.25
SKU-10068,LuxeHome Cotton Wall Clock - Black,Home and lifestyle,19.97,30.74
SKU-10069,Retro Polarized Wallet - Navy,Fashion accessories,14.47,20.41
SKU-10070,Essence Anti-Aging Body Wash - 50ml,Health and beauty,16.18,23.34
SKU-10071,Premium Vegan Pasta - 1L,Food and beverages,19.35,24.29
SKU-10072,Eco Fast-Charging Speaker - Red,Electronic accessories,100.44,127.99
SKU-10073,Daily Gluten-Free Olive Oil - 1L,Food and beverages,5.04,6.52
SKU-10074,Cyber Portable Webcam - White,Electronic accessories,29.42,37.97
SKU-10075,Pulse Slim Power Bank - Grey,Electronic accessories,127.16,156.38
SKU-10076,Pure Soothing Body Wash - 150g,Health and beauty,58.98,76.93
SKU-10077,Chic Leather Scarf - Silver,Fashion accessories,58.3,76.71
SKU-10078,Luxe Cotton Handbag - Rose Gold,Fashion accessories,78.11,108.14
SKU-10079,Peak Ergonomic Dumbbells - Neon Green,Sports and travel,36.56,57.22
SKU-10080,Retro Leather Scarf - Silver,Fashion accessories,38.12,53.05
SKU-10081,Clear Anti-Aging Serum - 200ml,Health and beauty,6.28,7.87
SKU-10082,Pure Anti-Aging Conditioner - 50ml,Health and beauty,54.79,86.8
SKU-10083,Urban Stainless Steel Coffee Mug - Oak,Home and lifestyle,52.94,71.47
SKU-10084,Eco Mini Power Bank - Blue,Electronic accessories,28.86,38.36
SKU-10085,TechPro Heavy Duty Power Bank - Silver,Electronic accessories,31.1,41.46
SKU-10086,Luxe Polarized Sunglasses - Navy,Fashion accessories,70.82,111.44
SKU-10087,Daily Gluten-Free Green Tea - Pack of 6,Food and beverages,1.46,1.88
SKU-10088,Radiant Natural Deodorant - Travel Size,Health and beauty,36.02,54.6
SKU-10089,EcoLiving Stainless Steel Bed Sheets - White,Home and lifestyle,79.68,102.03
SKU-10090,Classic Glass Towel Set - Grey,Home and lifestyle,78.32,106.7
SKU-10091,Pure Oil-Free Serum - 200ml,Health and beauty,69.39,92.03
SKU-10092,Classic Glass Vase - White,Home and lifestyle,77.27,100.7
SKU-10093,Nova Wireless Headphones - Red,Electronic accessories,43.06,60.16
SKU-10094,Active Waterproof Tent - Black,Sports and travel,18.1,26.47
SKU-10095,ProFit Compact Travel Pillow - Red,Sports and travel,14.72,23.22
SKU-10096,Glow Oil-Free Deodorant - 200ml,Health and beauty,17.64,22.15
SKU-10097,Retro Vintage Hat - Silver,Fashion accessories,77.99,112.07
SKU-10098,Luxe Silk Belt - Black,Fashion accessories,52.6,70.61
SKU-10099,Luxe Denim Backpack - Brown,Fashion accessories,42.99,57.45
SKU-10100,Classic Canvas Gloves - Black,Fashion accessories,62.12,95.5
SKU-10101,Derma Soothing Perfume - 100ml,Health and beauty,21.09,32.3
SKU-10102,Radiant Oil-Free Serum - 50ml,Health and beauty,12.13,18.09
SKU-10103,FarmFresh Sweet Almonds - 250g,Food and beverages,9.52,11.05
SKU-10104,Clear Vitamin C Conditioner - Pack of 2,Health and beauty,21.42,33.42
SKU-10105,Clear Natural Perfume - Pack of 2,Health and beauty,79.23,99.52
SKU-10106,Glow Natural Deodorant - Travel Size,Health and beauty,43.98,60.54
SKU-10107,TechPro Wireless Keyboard - Blue,Electronic accessories,117.55,171.55
SKU-10108,Zen Stainless Steel Towel Set - Oak,Home and lifestyle,36.28,55.43
SKU-10109,Pure Anti-Aging Serum - Pack of 2,Health and beauty,12.2,18.17
SKU-10110,Peak Ergonomic Jump Rope - Neon Green,Sports and travel,22.2,29.16
SKU-10111,TechPro Bluetooth Power Bank - White,Electronic accessories,43.85,65.72
SKU-10112,Trendy Vintage Scarf - Silver,Fashion accessories,17.14,24.26
SKU-10113,Elite Canvas Watch - Brown,Fashion accessories,26.8,34.62
SKU-10114,Trek Waterproof Backpack - Orange,Sports and travel,65.92,97.89
SKU-10115,Pulse Bluetooth Headphones - Silver,Electronic accessories,125.71,183.47
SKU-10116,Glow Vitamin C Body Wash - Pack of 2,Health and beauty,13.7,18.29
SKU-10117,Peak Heavy-Duty Water Bottle - Black,Sports and travel,62.67,98.64
SKU-10118,Motion Ergonomic Sleeping Bag - Red,Sports and travel,8.8,11.12
SKU-10119,Glow Anti-Aging Shampoo - 200ml,Health and beauty,31.99,44.27
SKU-10120,Retro Vintage Sunglasses - Rose Gold,Fashion accessories,61.12,92.4
SKU-10121,Organic Salted Chocolate - Pack of 6,Food and beverages,14.66,17.46
SKU-10122,Vogue Cotton Gloves - Navy,Fashion accessories,77.76,100.5
SKU-10123,HomeStyle Rustic Storage Box - Black,Home and lifestyle,57.72,86.77
SKU-10124,Luxe Polarized Backpack - Navy,Fashion accessories,70.62,112.88
SKU-10125,Cozy Glass Bed Sheets - Grey,Home and lifestyle,9.69,12.28
SKU-10126,Elite Polarized Wallet - Black,Fashion accessories,79.37,119.85
SKU-10127,Cozy Ceramic Cushion - Clear,Home and lifestyle,67.32,89.57
SKU-10128,Cyber Slim Power Bank - Black,Electronic accessories,57.1,72.3
SKU-10129,Pure Vegan Almonds - Pack of 6,Food and beverages,12.8,16.58
SKU-10130,HomeStyle Rustic Towel Set - Clear,Home and lifestyle,19.88,29.3
SKU-10131,Luxe Silk Handbag - Gold,Fashion accessories,26.68,36.89
SKU-10132,Clear Hydrating Body Wash - Travel Size,Health and beauty,67.34,92.4
SKU-10133,Zen Minimalist Wall Clock - Clear,Home and lifestyle,44.2,69.34
SKU-10134,Cozy Wooden Towel Set - Clear,Home and lifestyle,60.33,87.09
SKU-10135,Velocity Lightweight Dumbbells - Grey,Sports and travel,37.16,53.66
SKU-10136,Ultra Fast-Charging Headphones - White,Electronic accessories,28.11,35.49
SKU-10137,Summit Compact Dumbbells - Red,Sports and travel,14.43,22.24
SKU-10138,Pulse Heavy Duty Speaker - White,Electronic accessories,107.01,137.53
SKU-10139,Eco Slim Power Bank - Blue,Electronic accessories,95.37,130.26
SKU-10140,Cozy Glass Cushion - Grey,Home and lifestyle,60.79,85.23
SKU-10141,Luxe Canvas Sunglasses - Rose Gold,Fashion accessories,22.54,30.57
SKU-10142,FarmFresh Sweet Honey - 1L,Food and beverages,7.69,9.8
SKU-10143,Pulse Mini Cable - White,Electronic accessories,111.87,152.58
SKU-10144,Essence Vitamin C Serum - 150g,Health and beauty,66.92,96.41
SKU-10145,EcoLiving Minimalist Coffee Mug - Black,Home and lifestyle,56.83,81.91
SKU-10146,EcoLiving Ceramic Bed Sheets - Oak,Home and lifestyle,30.05,42.19
SKU-10147,Summit Ergonomic Travel Pillow - Orange,Sports and travel,78.01,102.33
SKU-10148,Vogue Canvas Scarf - Rose Gold,Fashion accessories,10.94,13.71
SKU-10149,Eco Heavy Duty Charger - Grey,Electronic accessories,69.55,91.28
SKU-10150,Golden Spicy Olive Oil - 1Kg,Food and beverages,12.11,15.48
SKU-10151,Aura Oil-Free Body Lotion - Pack of 2,Health and beauty,73.75,104.21
SKU-10152,Luxe Cotton Hat - Black,Fashion accessories,56.46,84.99
SKU-10153,Cyber Mini Earbuds - Black,Electronic accessories,145.06,198.06
SKU-10154,Nova Heavy Duty Charger - White,Electronic accessories,97.46,129.51
SKU-10155,Peak Lightweight Yoga Mat - Neon Green,Sports and travel,32.97,51.36
SKU-10156,TechPro Slim Charger - Red,Electronic accessories,37.09,49.36
SKU-10157,Ultra Bluetooth Adapter - Silver,Electronic accessories,33.99,47.38
SKU-10158,Tasty Spicy Green Tea - 1Kg,Food and beverages,5.68,7.17
SKU-10159,Classic Wooden Cushion - White,Home and lifestyle,43.84,63.83
SKU-10160,Radiant Organic Serum - 200ml,Health and beauty,14.17,20.58
SKU-10161,Aero Breathable Backpack - Black,Sports and travel,72.89,105.2
SKU-10162,Cozy Minimalist Coffee Mug - Beige,Home and lifestyle,70.99,106.81
SKU-10163,Cyber Fast-Charging Mouse - Black,Electronic accessories,44.73,63.28
SKU-10164,Derma Hydrating Deodorant - Pack of 2,Health and beauty,20.0,26.24
SKU-10165,Cyber Bluetooth Charger - White,Electronic accessories,32.5,44.06
SKU-10166,Velocity Breathable Sleeping Bag - Orange,Sports and travel,72.46,102.27
SKU-10167,Classic Cotton Tie - Silver,Fashion accessories,47.73,61.71
SKU-10168,Ultra Heavy Duty Speaker - Black,Electronic accessories,110.03,156.81
SKU-10169,Giga Mini Charger - Silver,Electronic accessories,57.2,78.76
SKU-10170,Tasty Spicy Chocolate - 250g,Food and beverages,15.77,19.87
SKU-10171,Daily Spicy Chocolate - 1L,Food and beverages,6.92,8.03
SKU-10172,Retro Silk Belt - Silver,Fashion accessories,31.89,46.24
SKU-10173,Aura Oil-Free Body Lotion - 150g,Health and beauty,8.33,11.9
SKU-10174,Cyber Slim Headphones - Silver,Electronic accessories,108.38,148.7
SKU-10175,Tasty Salted Coffee Beans - 500g,Food and beverages,2.88,3.33
SKU-10176,Daily Crunchy Green Tea - 1Kg,Food and beverages,15.43,19.67
SKU-10177,Retro Leather Backpack - Rose Gold,Fashion accessories,44.28,56.9
SKU-10178,Trek Ergonomic Resistance Bands - Blue,Sports and travel,57.78,90.32
SKU-10179,Luxe Leather Scarf - Navy,Fashion accessories,56.94,88.09
SKU-10180,Pure Anti-Aging Face Cream - Pack of 2,Health and beauty,19.74,26.89
SKU-10181,EcoLiving Minimalist Table Lamp - Oak,Home and lifestyle,22.39,29.25
SKU-10182,Smart Bluetooth Webcam - White,Electronic accessories,33.76,43.45
SKU-10183,Tasty Vegan Coffee Beans - 1Kg,Food and beverages,1.6,1.9
SKU-10184,LuxeHome Stainless Steel Bed Sheets - Oak,Home and lifestyle,12.47,18.83
SKU-10185,Modern Stainless Steel Wall Clock - White,Home and lifestyle,15.72,22.45
SKU-10186,TechPro Fast-Charging Speaker - Blue,Electronic accessories,32.6,47.52
SKU-10187,Trek Durable Water Bottle - Neon Green,Sports and travel,61.17,94.17
SKU-10188,Aero Heavy-Duty Yoga Mat - Red,Sports and travel,42.32,62.27
SKU-10189,Modern Ceramic Vase - White,Home and lifestyle,25.0,34.06
SKU-10190,Luxe Denim Handbag - Silver,Fashion accessories,75.06,101.83
SKU-10191,EcoLiving Cotton Picture Frame - Black,Home and lifestyle,24.75,32.08
SKU-10192,ProFit Breathable Gym Bag - Blue,Sports and travel,67.08,100.72
SKU-10193,Nature's Crunchy Chocolate - 500ml,Food and beverages,17.09,20.67
SKU-10194,Motion Heavy-Duty Gym Bag - Blue,Sports and travel,43.81,62.13
SKU-10195,Cyber Bluetooth Cable - Silver,Electronic accessories,81.64,107.08
SKU-10196,Modern Rustic Towel Set - Grey,Home and lifestyle,33.26,47.03
SKU-10197,Urban Cotton Hat - Black,Fashion accessories,35.96,51.85
SKU-10198,Active Compact Tent - Orange,Sports and travel,60.7,76.01
SKU-10199,Aero Breathable Yoga Mat - Red,Sports and travel,51.79,70.32
SKU-10200,Cozy Ceramic Candle - Grey,Home and lifestyle,68.34,92.77
SKU-10201,Motion Ergonomic Sleeping Bag - Neon Green,Sports and travel,19.44,29.05
SKU-10202,Giga Wireless Speaker - Silver,Electronic accessories,86.08,125.93
SKU-10203,EcoLiving Stainless Steel Cushion - Black,Home and lifestyle,73.63,96.33
SKU-10204,ProFit Lightweight Sleeping Bag - Blue,Sports and travel,79.54,104.78
SKU-10205,Pure Salted Honey - 500g,Food and beverages,10.96,13.94
SKU-10206,Summit Breathable Jump Rope - Orange,Sports and travel,50.95,72.94
SKU-10207,Smart Wireless Charger - Red,Electronic accessories,131.25,188.42
SKU-10208,Peak Ergonomic Water Bottle - Grey,Sports and travel,76.13,118.14
SKU-10209,ProFit Breathable Jump Rope - Grey,Sports and travel,26.03,38.87
SKU-10210,Daily Gluten-Free Green Tea - Pack of 6 (V85),Food and beverages,14.11,16.59
SKU-10211,Trek Heavy-Duty Dumbbells - Orange,Sports and travel,24.56,30.82
SKU-10212,Summit Lightweight Dumbbells - Grey,Sports and travel,52.4,80.52
SKU-10213,Peak Heavy-Duty Tent - Blue,Sports and travel,70.61,89.57
SKU-10214,Glow Soothing Perfume - 200ml,Health and beauty,74.65,101.07
SKU-10215,FarmFresh Gluten-Free Honey - 1L,Food and beverages,19.61,24.53
SKU-10216,Pure Salted Green Tea - 1L,Food and beverages,7.28,8.54
SKU-10217,Essence Vitamin C Perfume - 100ml,Health and beauty,33.96,46.88
SKU-10218,Zen Rustic Vase - Grey,Home and lifestyle,27.46,43.59
SKU-10219,Nature's Salted Olive Oil - 1Kg,Food and beverages,5.51,7.07
SKU-10220,Cyber Mini Keyboard - Black,Electronic accessories,117.7,174.7
SKU-10221,Modern Glass Candle - Black,Home and lifestyle,35.54,45.44
SKU-10222,Nova Slim Speaker - Silver,Electronic accessories,142.43,171.58
SKU-10223,Premium Crunchy Chocolate - 1L,Food and beverages,1.55,1.82
SKU-10224,Essence Hydrating Body Lotion - 100ml,Health and beauty,30.1,43.16
SKU-10225,Eco Fast-Charging Power Bank - White,Electronic accessories,92.86,112.06
SKU-10226,Luxe Denim Belt - Brown,Fashion accessories,69.45,96.11
SKU-10227,Velocity Compact Travel Pillow - Red,Sports and travel,18.63,25.46
SKU-10228,Trendy Cotton Gloves - Brown,Fashion accessories,13.66,18.99
SKU-10229,HomeStyle Wooden Vase - Beige,Home and lifestyle,42.0,60.91
SKU-10230,Eco Mini Power Bank - Blue (V67),Electronic accessories,35.58,52.95
SKU-10231,Luxe Polarized Gloves - Rose Gold,Fashion accessories,61.68,87.04
SKU-10232,Giga Wireless Speaker - Silver (V72),Electronic accessories,132.46,163.33
SKU-10233,Trek Breathable Yoga Mat - Blue,Sports and travel,8.26,12.95
SKU-10234,Cozy Glass Towel Set - Oak,Home and lifestyle,34.09,43.67
SKU-10235,Smart Slim Keyboard - Blue,Electronic accessories,146.45,214.8
SKU-10236,Urban Wooden Vase - Grey,Home and lifestyle,78.21,107.56
SKU-10237,Daily Spicy Chocolate - 250g,Food and beverages,10.21,12.33
SKU-10238,FarmFresh Gluten-Free Green Tea - 500ml,Food and beverages,3.63,4.35
SKU-10239,Summit Lightweight Sleeping Bag - Blue,Sports and travel,51.67,74.77
SKU-10240,Modern Cotton Bed Sheets - Oak,Home and lifestyle,53.41,83.84
SKU-10241,Smart Heavy Duty Adapter - White,Electronic accessories,109.99,134.84
SKU-10242,ProFit Durable Tent - Orange,Sports and travel,56.76,83.81
SKU-10243,Chic Denim Handbag - Rose Gold,Fashion accessories,74.93,115.51
SKU-10244,Pure Spicy Olive Oil - 1L,Food and beverages,9.51,11.87
SKU-10245,Ultra Slim Speaker - Red,Electronic accessories,134.52,194.11
SKU-10246,Essence Vitamin C Serum - 150g (V26),Health and beauty,14.58,22.15
SKU-10247,Essence Hydrating Perfume - 150g,Health and beauty,12.39,17.04
SKU-10248,Derma Vitamin C Perfume - Travel Size,Health and beauty,33.86,49.35
SKU-10249,Eco Mini Headphones - Silver,Electronic accessories,120.7,171.69
SKU-10250,Organic Roasted Almonds - 500ml,Food and beverages,2.35,3.03
SKU-10251,Trendy Silk Belt - Gold,Fashion accessories,54.77,83.83
SKU-10252,Classic Canvas Gloves - Navy,Fashion accessories,36.55,49.79
SKU-10253,Pure Crunchy Honey - 1L,Food and beverages,1.74,2.25
SKU-10254,Classic Rustic Towel Set - White,Home and lifestyle,51.98,72.73
SKU-10255,Smart Fast-Charging Mouse - Grey,Electronic accessories,50.13,70.42
SKU-10256,Pulse Slim Speaker - Silver,Electronic accessories,138.41,174.88
SKU-10257,Ultra Mini Speaker - White,Electronic accessories,113.87,149.73
SKU-10258,Retro Vintage Sunglasses - Black,Fashion accessories,50.64,79.24
SKU-10259,Velocity Waterproof Dumbbells - Orange,Sports and travel,51.33,80.8
SKU-10260,Clear Organic Shampoo - Pack of 2,Health and beauty,46.11,64.02
SKU-10261,Luxe Silk Backpack - Gold,Fashion accessories,63.91,81.99
SKU-10262,Summit Heavy-Duty Dumbbells - Black,Sports and travel,64.35,88.01
SKU-10263,Glow Soothing Deodorant - Pack of 2,Health and beauty,32.77,44.84
SKU-10264,Premium Gluten-Free Cookies - 1Kg,Food and beverages,18.37,23.86
SKU-10265,Nova Portable Speaker - Grey,Electronic accessories,63.24,81.22
SKU-10266,Trek Breathable Resistance Bands - Grey,Sports and travel,67.39,91.01
SKU-10267,Ultra Wireless Adapter - Red,Electronic accessories,120.85,178.89
SKU-10268,Nature's Roasted Honey - 1Kg,Food and beverages,19.54,24.98
SKU-10269,Elite Leather Watch - Gold,Fashion accessories,25.13,33.34
SKU-10270,Luxe Vintage Belt - Navy,Fashion accessories,71.09,93.58
SKU-10271,Pulse Slim Charger - Black,Electronic accessories,149.61,190.33
SKU-10272,TechPro Heavy Duty Power Bank - Silver (V10),Electronic accessories,78.99,107.44
SKU-10273,Clear Organic Body Wash - 100ml,Health and beauty,67.16,88.9
SKU-10274,Peak Compact Backpack - Red,Sports and travel,34.02,46.47
SKU-10275,Smart Heavy Duty Headphones - White,Electronic accessories,81.33,105.06
SKU-10276,Golden Salted Cookies - 500g,Food and beverages,18.71,21.75
SKU-10277,Cozy Cotton Picture Frame - Clear,Home and lifestyle,30.69,46.22
SKU-10278,Daily Roasted Pasta - 1Kg,Food and beverages,10.81,13.91
SKU-10279,Classic Rustic Coffee Mug - Black,Home and lifestyle,77.83,100.09
SKU-10280,Elite Cotton Belt - Gold,Fashion accessories,58.72,74.31
SKU-10281,Tasty Sweet Chocolate - 500ml,Food and beverages,6.34,7.62
SKU-10282,Pure Roasted Olive Oil - 1L,Food and beverages,10.01,12.4
SKU-10283,Clear Organic Sunscreen - 200ml (V16),Health and beauty,27.3,41.45
SKU-10284,Peak Breathable Backpack - Neon Green,Sports and travel,5.62,7.22
SKU-10285,Luxe Denim Sunglasses - Black,Fashion accessories,64.79,85.47
SKU-10286,Cyber Fast-Charging Mouse - Grey,Electronic accessories,122.0,165.59
SKU-10287,Eco Mini Headphones - Silver (V75),Electronic accessories,91.87,114.66
SKU-10288,Classic Leather Wallet - Gold,Fashion accessories,34.07,51.77
SKU-10289,Motion Durable Dumbbells - Blue,Sports and travel,38.52,58.4
SKU-10290,Trek Lightweight Travel Pillow - Red,Sports and travel,68.34,96.26
SKU-10291,Ultra Fast-Charging Headphones - White (V80),Electronic accessories,63.34,92.61
SKU-10292,Smart Heavy Duty Adapter - Red,Electronic accessories,114.85,170.05
SKU-10293,Vogue Silk Belt - Gold,Fashion accessories,54.34,83.72
SKU-10294,Cozy Wooden Table Lamp - Grey,Home and lifestyle,72.44,107.84
SKU-10295,HomeStyle Cotton Candle - White,Home and lifestyle,12.58,19.45
SKU-10296,ProFit Breathable Gym Bag - Black,Sports and travel,20.28,29.1
SKU-10297,Vogue Vintage Handbag - Gold,Fashion accessories,11.46,14.43
SKU-10298,Ultra Bluetooth Cable - Grey,Electronic accessories,20.76,27.95
SKU-10299,Trek Lightweight Water Bottle - Orange,Sports and travel,22.28,34.48
SKU-10300,Modern Glass Table Lamp - Black,Home and lifestyle,75.77,104.76
SKU-10301,Classic Canvas Belt - Brown,Fashion accessories,5.91,9.42
SKU-10302,Smart Fast-Charging Keyboard - Blue,Electronic accessories,127.5,159.91
SKU-10303,Zen Ceramic Storage Box - Grey,Home and lifestyle,25.63,36.85
SKU-10304,Summit Breathable Dumbbells - Grey,Sports and travel,12.44,15.8
SKU-10305,Ultra Heavy Duty Charger - Blue,Electronic accessories,64.52,92.32
SKU-10306,Classic Glass Candle - Beige,Home and lifestyle,12.96,18.13
SKU-10307,Tasty Roasted Cookies - Pack of 6,Food and beverages,1.31,1.58
SKU-10308,Tasty Crunchy Honey - 250g,Food and beverages,12.49,14.91
SKU-10309,Vital Organic Lip Balm - 100ml,Health and beauty,35.52,45.29
SKU-10310,Motion Durable Gym Bag - Grey,Sports and travel,13.56,16.96
SKU-10311,Pure Oil-Free Body Wash - 50ml,Health and beauty,37.57,47.76
SKU-10312,Pure Salted Olive Oil - 250g,Food and beverages,14.22,18.03
SKU-10313,Organic Sweet Coffee Beans - 1L,Food and beverages,18.29,23.42
SKU-10314,Pulse Mini Keyboard - Grey,Electronic accessories,118.02,152.9
SKU-10315,Retro Vintage Watch - Rose Gold,Fashion accessories,35.06,51.91
SKU-10316,Trendy Silk Tie - Silver,Fashion accessories,66.49,84.65
SKU-10317,Pulse Bluetooth Webcam - Blue,Electronic accessories,71.95,102.45
SKU-10318,Giga Wireless Webcam - Red,Electronic accessories,90.77,125.62
SKU-10319,Chic Canvas Sunglasses - Brown,Fashion accessories,54.73,69.23
SKU-10320,Zen Rustic Cushion - Beige,Home and lifestyle,51.6,68.68
SKU-10321,Radiant Organic Face Cream - 50ml,Health and beauty,36.36,54.74
SKU-10322,Luxe Leather Scarf - Silver,Fashion accessories,50.36,68.26
SKU-10323,Trek Compact Travel Pillow - Blue,Sports and travel,11.98,15.64
SKU-10324,Aero Durable Water Bottle - Black,Sports and travel,27.3,41.36
SKU-10325,HomeStyle Stainless Steel Vase - Beige,Home and lifestyle,26.68,34.94
SKU-10326,Trendy Cotton Hat - Rose Gold,Fashion accessories,27.56,34.84
SKU-10327,Premium Spicy Pasta - Pack of 6,Food and beverages,18.21,21.99
SKU-10328,Classic Stainless Steel Coffee Mug - White,Home and lifestyle,19.74,25.52
SKU-10329,Pure Sweet Pasta - Pack of 6,Food and beverages,3.31,3.9
SKU-10330,LuxeHome Glass Table Lamp - Black,Home and lifestyle,41.77,61.26
SKU-10331,Cyber Portable Adapter - Silver,Electronic accessories,45.78,55.12
SKU-10332,Nova Portable Mouse - Blue,Electronic accessories,142.37,204.3
SKU-10333,Trek Ergonomic Travel Pillow - Grey,Sports and travel,37.34,50.53
SKU-10334,Trek Lightweight Travel Pillow - Blue,Sports and travel,11.87,17.23
SKU-10335,TechPro Wireless Charger - Grey,Electronic accessories,69.51,86.52
SKU-10336,HomeStyle Minimalist Wall Clock - Black,Home and lifestyle,60.08,75.74
SKU-10337,Trek Lightweight Travel Pillow - Grey,Sports and travel,19.23,29.85
SKU-10338,Golden Roasted Cereal - Pack of 6,Food and beverages,6.84,8.3
SKU-10339,Chic Canvas Gloves - Black,Fashion accessories,54.39,72.28
SKU-10340,Giga Portable Mouse - Black,Electronic accessories,23.27,31.67
SKU-10341,Urban Leather Wallet - Black,Fashion accessories,32.77,42.84
